(0,*,1)
(0,P,2)
(1,p,3)
(2,#,0)
(3,<,4)
(4,k,5)
(4,I,6)
(5,>,-2)
(6,>,7)
(7,a,8)
(7,h,9)
(7,v,10)
(7,y,11)
(7,z,12)
(7,A,13)
(7,B,14)
(8,2,-4)
(8,m,-4)
(9,2,-7)
(9,m,-7)
(10,2,-8)
(10,m,-8)
(11,2,-6)
(11,m,-6)
(12,2,-5)
(12,m,-5)
(13,#,-1)
(14,2,15)
(14,m,16)
(14,C,17)
(15,(,-10)
(16,(,-9)
(17,(,18)
(18,),19)
(19,{,20)
(20,r,-19)
(20,},-19)
(20,2,21)
(20,a,22)
(20,h,23)
(20,w,24)
(20,y,25)
(20,z,26)
(20,D,27)
(20,E,28)
(20,T,29)
(20,W,30)
(20,X,31)
(21,=,32)
(22,2,-11)
(23,2,-14)
(24,(,33)
(25,2,-13)
(26,2,-12)
(27,2,34)
(27,N,35)
(28,},-25)
(28,r,36)
(28,R,37)
(29,r,-19)
(29,},-19)
(29,2,21)
(29,a,22)
(29,h,23)
(29,w,24)
(29,y,25)
(29,z,26)
(29,D,27)
(29,E,38)
(29,T,29)
(29,W,30)
(29,X,31)
(30,r,-19)
(30,},-19)
(30,2,21)
(30,a,22)
(30,h,23)
(30,w,24)
(30,y,25)
(30,z,26)
(30,D,27)
(30,E,39)
(30,T,29)
(30,W,30)
(30,X,31)
(31,r,-19)
(31,},-19)
(31,2,21)
(31,a,22)
(31,h,23)
(31,w,24)
(31,y,25)
(31,z,26)
(31,D,27)
(31,E,40)
(31,T,29)
(31,W,30)
(31,X,31)
(32,2,41)
(32,3,42)
(32,Y,43)
(33,3,44)
(34,;,-21)
(34,,,45)
(35,;,46)
(35,Z,47)
(36,3,48)
(37,},49)
(38,r,-18)
(38,},-18)
(39,r,-16)
(39,},-16)
(40,r,-17)
(40,},-17)
(41,+,-28)
(41,-,-28)
(42,+,-29)
(42,-,-29)
(43,+,50)
(43,-,51)
(43,Q,52)
(44,),53)
(45,2,34)
(45,N,54)
(46,2,-23)
(46,a,-23)
(46,h,-23)
(46,w,-23)
(46,y,-23)
(46,z,-23)
(46,r,-23)
(46,},-23)
(47,2,-20)
(47,a,-20)
(47,h,-20)
(47,w,-20)
(47,y,-20)
(47,z,-20)
(47,r,-20)
(47,},-20)
(48,;,55)
(49,#,-3)
(50,2,-30)
(50,3,-30)
(51,2,-31)
(51,3,-31)
(52,2,56)
(52,3,57)
(52,Y,58)
(53,{,59)
(54,;,-22)
(55,},-24)
(56,;,-28)
(57,;,-29)
(58,;,60)
(59,},-19)
(59,2,61)
(59,a,22)
(59,h,23)
(59,w,62)
(59,y,25)
(59,z,26)
(59,D,63)
(59,E,64)
(59,T,65)
(59,W,66)
(59,X,67)
(60,2,-27)
(60,a,-27)
(60,h,-27)
(60,w,-27)
(60,y,-27)
(60,z,-27)
(60,r,-27)
(60,},-27)
(61,=,68)
(62,(,69)
(63,2,34)
(63,N,70)
(64,},71)
(65,},-19)
(65,2,61)
(65,a,22)
(65,h,23)
(65,w,62)
(65,y,25)
(65,z,26)
(65,D,63)
(65,E,72)
(65,T,65)
(65,W,66)
(65,X,67)
(66,},-19)
(66,2,61)
(66,a,22)
(66,h,23)
(66,w,62)
(66,y,25)
(66,z,26)
(66,D,63)
(66,E,73)
(66,T,65)
(66,W,66)
(66,X,67)
(67,},-19)
(67,2,61)
(67,a,22)
(67,h,23)
(67,w,62)
(67,y,25)
(67,z,26)
(67,D,63)
(67,E,74)
(67,T,65)
(67,W,66)
(67,X,67)
(68,2,41)
(68,3,42)
(68,Y,75)
(69,3,76)
(70,;,77)
(70,Z,78)
(71,2,-26)
(71,a,-26)
(71,h,-26)
(71,w,-26)
(71,y,-26)
(71,z,-26)
(71,r,-26)
(71,},-26)
(72,},-18)
(73,},-16)
(74,},-17)
(75,+,50)
(75,-,51)
(75,Q,79)
(76,),80)
(77,2,-23)
(77,a,-23)
(77,h,-23)
(77,w,-23)
(77,y,-23)
(77,z,-23)
(77,},-23)
(78,2,-20)
(78,a,-20)
(78,h,-20)
(78,w,-20)
(78,y,-20)
(78,z,-20)
(78,},-20)
(79,2,56)
(79,3,57)
(79,Y,81)
(80,{,82)
(81,;,83)
(82,},-19)
(82,2,61)
(82,a,22)
(82,h,23)
(82,w,62)
(82,y,25)
(82,z,26)
(82,D,63)
(82,E,84)
(82,T,65)
(82,W,66)
(82,X,67)
(83,2,-27)
(83,a,-27)
(83,h,-27)
(83,w,-27)
(83,y,-27)
(83,z,-27)
(83,},-27)
(84,},85)
(85,2,-26)
(85,a,-26)
(85,h,-26)
(85,w,-26)
(85,y,-26)
(85,z,-26)
(85,},-26)
